geoid,geoid20,year,denom_total_pop,lowaccess_count,lowaccess_pct,denom_li_pop,lowaccess_li_count,lowaccess_li_pct,denom_tot_kids,lowaccess_kids_count,lowaccess_kids_pct,denom_tot_seniors,lowaccess_seniors_count,lowaccess_seniors_pct
1400000US06037106406,6037106406,2019,4788,4788,100,1470,1317,89.591835,1293,1293,100,491,491,100
1400000US06037106407,6037106407,2019,2933,0,0,1783,0,0,838,0,0,478,0,0
1400000US06037106408,6037106408,2019,3463,505,14.582732,1926,262,13.603323,1237,173,13.985449,115,22,19.130434
1400000US06037106510,6037106510,2019,5269,5269,100,1005,1012,100.69652,1630,1630,100,395,395,100
1400000US06037106520,6037106520,2019,5837,5837,100,2172,2174,100.09208,1638,1638,100,541,541,100
1400000US06037106603,6037106603,2019,2007,2007,100,234,217,92.735046,383,383,100,324,324,100
1400000US06037106604,6037106604,2019,5019,5019,100,2747,2717,98.907898,1561,1561,100,410,410,100
1400000US06037106641,6037106641,2019,2317,2317,100,352,347,98.579544,445,445,100,395,395,100
1400000US06037106642,6037106642,2019,3236,2868,88.627937,330,312,94.545456,664,584,87.951805,539,482,89.424858
1400000US06037106643,6037106643,2019,4318,4318,100,477,443,92.872116,943,943,100,574,574,100
1400000US06037106645,6037106645,2019,3389,3389,100,617,589,95.461914,630,630,100,741,741,100
1400000US06037106646,6037106646,2019,3237,2343,72.381836,525,352,67.047623,678,501,73.893806,522,367,70.306511
1400000US06037106648,6037106648,2019,3890,2791,71.74807,2062,1219,59.117363,1269,876,69.030731,285,219,76.842102
1400000US06037106649,6037106649,2019,2853,1421,49.80722,643,246,38.258163,758,375,49.472294,261,116,44.444443
1400000US06037107010,6037107010,2019,3247,1206,37.141975,1331,521,39.143501,901,360,39.955605,263,89,33.840305
1400000US06037107020,6037107020,2019,5400,4147,76.796295,1692,1155,68.262413,1667,1319,79.124176,306,218,71.241829
1400000US06037108101,6037108101,2019,2230,2230,100,307,283,92.182411,408,408,100,397,397,100
1400000US06037108102,6037108102,2019,3430,1671,48.717201,786,358,45.547073,675,338,50.074074,661,310,46.89864
1400000US06037108103,6037108103,2019,3255,3255,100,225,238,105.77778,606,606,100,528,528,100
1400000US06037108104,6037108104,2019,1698,1698,100,352,311,88.352272,383,383,100,315,315,100
1400000US06037108202,6037108202,2019,4824,3901,80.866501,807,423,52.416355,1124,993,88.345192,600,388,64.666664
1400000US06037108203,6037108203,2019,2716,2237,82.36377,175,150,85.714287,674,541,80.267059,314,264,84.076431
1400000US06037108204,6037108204,2019,2835,2335,82.363319,182,156,85.714287,704,565,80.255684,327,276,84.403671
1400000US06037109100,6037109100,2019,2489,2129,85.536362,715,609,85.174828,520,459,88.269234,666,558,83.783783
1400000US06037109200,6037109200,2019,2275,2275,100,336,284,84.523811,511,511,100,296,296,100
1400000US06037109300,6037109300,2019,3085,3064,99.31929,636,597,93.867928,694,689,99.279541,401,399,99.501244
1400000US06037109400,6037109400,2019,3718,3718,100,740,803,108.51351,892,892,100,496,496,100
1400000US06037109500,6037109500,2019,4303,3550,82.50058,2870,2041,71.114983,1226,1023,83.442085,424,326,76.886795
1400000US06037109601,6037109601,2019,5020,3952,78.725098,617,501,81.199348,1277,996,77.9953,567,478,84.303352
1400000US06037109603,6037109603,2019,4252,777,18.273754,1888,329,17.425848,1102,193,17.513611,451,94,20.842571
1400000US06037109604,6037109604,2019,2975,592,19.89916,805,183,22.73292,719,137,19.054241,348,60,17.241379
1400000US06037109700,6037109700,2019,4493,642,14.288894,912,142,15.570175,1064,151,14.19173,592,88,14.864865
1400000US06037109800,6037109800,2019,4565,1241,27.185104,1413,213,15.07431,1029,285,27.696793,592,150,25.337837
1400000US06037111100,6037111100,2019,2982,539,18.075117,640,100,15.625,716,131,18.296089,395,73,18.481012
1400000US06037111201,6037111201,2019,3410,1172,34.369503,602,175,29.069767,731,237,32.421341,546,234,42.857143
1400000US06037111202,6037111202,2019,5213,1469,28.17955,883,276,31.257078,1157,317,27.398445,744,185,24.865591
1400000US06037111204,6037111204,2019,5859,2898,49.462364,411,197,47.931873,1265,597,47.193676,1103,594,53.853127
1400000US06037111205,6037111205,2019,3375,532,15.762963,845,115,13.609468,653,114,17.457886,533,99,18.574108
1400000US06037111206,6037111206,2019,4490,2269,50.534523,593,386,65.092751,878,447,50.911163,864,419,48.495369
1400000US06037111302,6037111302,2019,4786,3756,78.478897,1375,1045,76,831,648,77.97834,913,678,74.260681
1400000US06037111303,6037111303,2019,5538,1513,27.320332,1985,436,21.964735,1178,350,29.711374,525,146,27.809525
1400000US06037111304,6037111304,2019,1549,423,27.307941,555,122,21.981981,330,98,29.69697,147,41,27.891157
1400000US06037111401,6037111401,2019,3508,8,.22805017,1271,2,.15735641,765,1,.13071896,520,2,.38461539
1400000US06037111402,6037111402,2019,4052,10,.24679171,1469,2,.13614704,884,2,.22624435,601,2,.33277869
1400000US06037113101,6037113101,2019,3558,1437,40.387859,990,441,44.545456,660,284,43.030304,747,272,36.412315
1400000US06037113102,6037113102,2019,2826,1333,47.169144,337,150,44.510387,540,251,46.48148,589,279,47.36842
1400000US06037113211,6037113211,2019,3787,3582,94.586746,602,538,89.368774,631,590,93.50238,716,689,96.22905
1400000US06037113212,6037113212,2019,3065,428,13.964111,605,33,5.4545455,610,113,18.52459,468,56,11.965812
1400000US06037113213,6037113213,2019,4316,3169,73.424469,819,466,56.898659,882,646,73.24263,591,436,73.773262
1400000US06037113231,6037113231,2019,2124,2124,100,319,276,86.520378,470,470,100,389,389,100
1400000US06037113232,6037113232,2019,3894,3140,80.636879,612,458,74.836601,736,601,81.657608,746,592,79.356567
1400000US06037113234,6037113234,2019,4667,1162,24.898222,1874,532,28.388474,1201,194,16.153206,553,338,61.121159
1400000US06037113235,6037113235,2019,1602,1602,100,438,383,87.442924,292,292,100,189,189,100
1400000US06037113237,6037113237,2019,3661,3661,100,982,880,89.613037,667,667,100,640,640,100
1400000US06037113238,6037113238,2019,4129,2291,55.485588,2072,1010,48.745174,1113,576,51.752022,373,267,71.581772
1400000US06037113239,6037113239,2019,2526,1401,55.463184,1268,618,48.738171,681,353,51.835537,228,163,71.491226
1400000US06037113301,6037113301,2019,2186,486,22.232388,558,7,1.2544802,462,91,19.69697,455,122,26.813187
1400000US06037113303,6037113303,2019,4027,3055,75.862923,940,711,75.638298,927,718,77.454155,667,464,69.565216
1400000US06037113322,6037113322,2019,3947,2132,54.015709,507,287,56.607494,756,418,55.291004,757,430,56.803169
1400000US06037113323,6037113323,2019,3779,1827,48.346123,1217,530,43.549713,802,385,48.004986,293,142,48.464165
1400000US06037113324,6037113324,2019,1694,819,48.347107,545,237,43.48624,359,172,47.910862,132,64,48.484848
1400000US06037113423,6037113423,2019,1607,184,11.449906,418,36,8.6124401,334,39,11.676646,229,25,10.91703
1400000US06037113424,6037113424,2019,3936,452,11.48374,1024,89,8.6914063,818,96,11.735941,562,62,11.032028
1400000US06037113425,6037113425,2019,940,940,100,413,361,87.409203,258,258,100,63,63,100
1400000US06037113426,6037113426,2019,5169,5169,100,2273,1985,87.329521,1421,1421,100,346,346,100
1400000US06037113427,6037113427,2019,1027,451,43.914314,384,171,44.53125,234,105,44.871796,95,39,41.052631
1400000US06037113428,6037113428,2019,5030,2210,43.936382,1883,836,44.39724,1149,512,44.560486,467,192,41.113491
1400000US06037115101,6037115101,2019,5046,3613,71.601265,402,309,76.865669,1002,697,69.560875,1064,789,74.154137
1400000US06037115103,6037115103,2019,2770,2633,95.054153,97,2128,2193.8145,24,23,95.833336,6,6,100
1400000US06037115104,6037115104,2019,4444,4293,96.602158,1872,1665,88.942307,687,659,95.924309,407,379,93.120392
1400000US06037115202,6037115202,2019,4828,712,14.747308,1326,173,13.046757,856,151,17.640186,437,87,19.908466
1400000US06037115203,6037115203,2019,2822,2101,74.450745,1112,744,66.906471,454,358,78.854622,299,244,81.605354
1400000US06037115204,6037115204,2019,3615,2691,74.439835,1424,952,66.853935,581,459,79.001724,382,313,81.937172
1400000US06037115301,6037115301,2019,4156,3626,87.247353,893,746,83.538635,729,636,87.242798,871,744,85.41906
1400000US06037115302,6037115302,2019,4351,4,.091932885,2268,2,.088183418,1484,1,.067385443,233,0,0
1400000US06037115401,6037115401,2019,5776,4817,83.396812,2571,2059,80.085571,1448,1194,82.458565,569,504,88.576447
1400000US06037115403,6037115403,2019,3188,194,6.08532,2073,108,5.2098408,806,47,5.8312654,246,20,8.1300812
1400000US06037115404,6037115404,2019,2913,0,0,819,0,0,665,0,0,286,0,0
1400000US06037117101,6037117101,2019,4796,25,.52126771,1261,5,.39651072,1261,6,.47581285,306,2,.65359479
1400000US06037117102,6037117102,2019,2631,2012,76.472824,1082,751,69.408501,588,448,76.190475,290,213,73.448273
1400000US06037117201,6037117201,2019,4352,1486,34.145222,2117,444,20.973076,1318,326,24.734446,449,317,70.601334
1400000US06037117202,6037117202,2019,2469,804,32.563789,329,106,32.218845,510,170,33.333332,357,112,31.372549
1400000US06037117301,6037117301,2019,3851,1709,44.378082,992,388,39.112904,828,393,47.463768,563,237,42.095913
1400000US06037117302,6037117302,2019,4914,1722,35.042736,1272,434,34.119495,1035,365,35.265701,821,289,35.200974
1400000US06037117303,6037117303,2019,3512,166,4.7266517,751,22,2.9294274,771,50,6.4850845,467,19,4.0685225
1400000US06037117404,6037117404,2019,4279,966,22.575369,1616,384,23.762377,833,183,21.968788,529,90,17.013233
1400000US06037117405,6037117405,2019,3442,0,0,2652,0,0,1350,0,0,69,0,0
1400000US06037117407,6037117407,2019,3636,0,0,3181,0,0,1375,0,0,66,0,0
1400000US06037117408,6037117408,2019,2830,2563,90.565369,2245,1727,76.926506,899,822,91.434929,107,93,86.915886
1400000US06037117510,6037117510,2019,4028,0,0,2961,0,0,1412,0,0,196,0,0
1400000US06037117520,6037117520,2019,4052,221,5.4540968,2936,158,5.3814712,1513,81,5.3536019,89,6,6.7415729
1400000US06037117530,6037117530,2019,5641,4899,86.846306,3920,2862,73.010201,1833,1597,87.124931,300,255,85
1400000US06037119001,6037119001,2019,4038,4012,99.356117,1147,1076,93.809937,1007,1001,99.404167,386,384,99.481865
1400000US06037119003,6037119003,2019,3612,1735,48.034328,1033,461,44.6273,999,476,47.647648,307,147,47.882736
1400000US06037119004,6037119004,2019,3614,1729,47.841728,1039,460,44.273338,1000,475,47.5,307,147,47.882736
1400000US06037119201,6037119201,2019,4137,1241,29.997583,1553,440,28.33226,1144,349,30.506992,328,97,29.573172
1400000US06037119202,6037119202,2019,4707,275,5.8423624,1865,58,3.1099195,1357,76,5.6005898,378,26,6.8783069
1400000US06037119310,6037119310,2019,3870,0,0,2119,0,0,1001,0,0,506,0,0
1400000US06037119320,6037119320,2019,4694,0,0,2355,0,0,1409,0,0,236,0,0
1400000US06037119340,6037119340,2019,3884,0,0,3100,0,0,1392,0,0,80,0,0
1400000US06037119341,6037119341,2019,2719,0,0,1430,0,0,683,0,0,246,0,0
1400000US06037119342,6037119342,2019,3180,0,0,1572,0,0,1032,0,0,138,0,0
1400000US06037119400,6037119400,2019,4987,1320,26.468819,1754,497,28.335234,1358,356,26.215023,407,113,27.764128
1400000US06037119700,6037119700,2019,5045,2656,52.646183,1322,653,49.394855,1172,616,52.559727,680,357,52.5
1400000US06037119801,6037119801,2019,3011,1204,39.986717,837,381,45.519714,801,311,38.826466,259,115,44.401543
1400000US06037119802,6037119802,2019,3097,1238,39.974167,860,392,45.581394,823,320,38.882137,266,119,44.736843
1400000US06037119900,6037119900,2019,4940,0,0,1542,0,0,1299,0,0,448,0,0
1400000US06037120010,6037120010,2019,2844,968,34.036568,1344,598,44.494049,830,321,38.674698,188,45,23.936171
1400000US06037120020,6037120020,2019,3917,0,0,2428,0,0,1141,0,0,210,0,0
1400000US06037120030,6037120030,2019,2815,0,0,1855,0,0,1055,0,0,97,0,0
1400000US06037120103,6037120103,2019,3287,0,0,2633,0,0,1191,0,0,63,0,0
1400000US06037120104,6037120104,2019,2310,0,0,1334,0,0,639,0,0,115,0,0
1400000US06037120105,6037120105,2019,2812,0,0,1854,0,0,753,0,0,335,0,0
1400000US06037120106,6037120106,2019,4417,0,0,3456,0,0,1409,0,0,243,0,0
1400000US06037120107,6037120107,2019,3818,0,0,2843,0,0,1412,0,0,175,0,0
1400000US06037120108,6037120108,2019,4838,0,0,2975,0,0,1583,0,0,302,0,0
1400000US06037120300,6037120300,2019,5531,334,6.038691,1590,86,5.4088049,1335,70,5.2434459,507,23,4.536489
1400000US06037120400,6037120400,2019,6272,1222,19.483418,2778,553,19.906408,1501,283,18.854097,669,111,16.591928
1400000US06037121010,6037121010,2019,4989,2282,45.740631,1886,873,46.288441,1208,583,48.261589,516,207,40.11628
1400000US06037121020,6037121020,2019,3741,3339,89.254211,1254,1210,96.491226,943,843,89.395546,342,305,89.18129
1400000US06037121101,6037121101,2019,2932,1167,39.802181,1105,444,40.180996,729,290,39.780521,217,100,46.082951
1400000US06037121102,6037121102,2019,2721,1177,43.256157,1499,600,40.026684,664,256,38.554218,296,139,46.959461
1400000US06037121210,6037121210,2019,3110,2659,85.49839,951,893,93.901154,743,616,82.907135,365,346,94.794518
1400000US06037121221,6037121221,2019,2364,863,36.50592,897,313,34.894093,644,231,35.869564,211,71,33.649288
1400000US06037121222,6037121222,2019,5276,5138,97.384384,3236,3056,94.437576,1821,1771,97.254257,256,248,96.875
1400000US06037121600,6037121600,2019,3005,2428,80.798668,509,444,87.229866,607,481,79.242172,443,344,77.652367
1400000US06037121801,6037121801,2019,3942,2257,57.255199,1675,1375,82.089554,1124,663,58.985764,201,91,45.273632
1400000US06037121802,6037121802,2019,3525,2,.056737587,1469,1,.068073519,922,0,0,284,0,0
1400000US06037121900,6037121900,2019,4110,2043,49.708031,1588,695,43.765743,1011,503,49.75272,359,169,47.075211
1400000US06037122000,6037122000,2019,5431,4620,85.067207,2312,1563,67.603806,1104,911,82.518112,755,650,86.092712
1400000US06037122120,6037122120,2019,5000,3922,78.440002,2096,1821,86.879768,1499,1189,79.31955,387,309,79.844963
1400000US06037122121,6037122121,2019,2833,2824,99.682312,1108,1210,109.20577,780,778,99.743591,222,221,99.549553
1400000US06037122122,6037122122,2019,2439,2424,99.384995,1668,1550,92.925659,747,743,99.464523,163,162,99.386505
1400000US06037122200,6037122200,2019,4141,4141,100,1667,1842,110.4979,1236,1236,100,277,277,100
1400000US06037122410,6037122410,2019,3794,3794,100,2336,2556,109.41781,1151,1151,100,290,290,100
1400000US06037122420,6037122420,2019,5050,3854,76.316833,2079,1821,87.590187,1407,1093,77.683014,364,255,70.054947
1400000US06037123010,6037123010,2019,4580,0,0,2560,0,0,1514,0,0,232,0,0
1400000US06037123020,6037123020,2019,3432,859,25.029137,1484,407,27.425877,965,244,25.284973,245,60,24.489796
1400000US06037123103,6037123103,2019,4164,0,0,1715,0,0,1043,0,0,304,0,0
1400000US06037123104,6037123104,2019,4596,0,0,1913,0,0,1084,0,0,447,0,0
1400000US06037123203,6037123203,2019,3765,1728,45.896416,2636,1216,46.130501,1237,558,45.109135,154,69,44.805195
1400000US06037123204,6037123204,2019,3449,0,0,1589,0,0,1066,0,0,177,0,0
1400000US06037123205,6037123205,2019,2645,2645,100,1087,1106,101.74793,804,804,100,124,124,100
1400000US06037123206,6037123206,2019,2945,2062,70.016975,1555,1216,78.199356,832,594,71.394234,228,163,71.491226
